item_code,quantity,price,position_name,link_image
G33-051,6,134.64,Amortyzator Tashiko tylny prawy dla Toyota Corolla EE90 1987-1994 333051,https://a.allegroimg.com/original/116eea/4ec2a25b490a8288c321c2f82107|https://a.allegroimg.com/original/113cc9/5a4e7a7c470eb1bc56a8cf51f8b6|https://a.allegroimg.com/original/11d202/10f492ce48b988c31857a5da2a72|https://a.allegroimg.com/original/1121f6/3d76e0e34ae2a95457c60bb4a6d3
G41-815,10,91.80,Amortyzator Tashiko tylny dla Toyota Avensis ZZT250 2003-2009 341815,https://a.allegroimg.com/original/115d80/fd95fb414c5b9f0e430e919abba6|https://a.allegroimg.com/original/11daff/91640b114d2ebfbd01c2f8ec9678|https://a.allegroimg.com/original/1166c3/31c6a2a748a6ac8509f2b73cfd4d
G33-277,4,130.56,"Amortyzator Tashiko tylny lewy dla Mazda 323 BJ, Premacy 1998-2004 333277",https://a.allegroimg.com/original/1188f2/5d50adba4883bc907ec72fbb869e|https://a.allegroimg.com/original/11b966/987c3f0942c3b5d4d15383b0bd41|https://a.allegroimg.com/original/11b03d/c541cb95475da4bb38cfcb76201e|https://a.allegroimg.com/original/113704/e25af55c4259a705c3ee057f7efd
G99-247,4,133.84,"Amortyzator Tashiko przedni lewy dla Kia Cerato, Forte 2008- 338027",https://a.allegroimg.com/original/1187ad/3e048e2640d6869d69014ef81969|https://a.allegroimg.com/original/119a35/e259a611457cb2e5599bcb855e6b|https://a.allegroimg.com/original/119f67/18c2d1514f2295625b960e538f8c
G88-210,4,139.96,Amortyzator Tashiko przedni lewy dla Nissan Juke 2010-- G88-210 339755,https://a.allegroimg.com/original/11e7c2/4cb64b92411b883d8806e4426971|https://a.allegroimg.com/original/116388/4ef0be404482ba30bfd99d5d6d13|https://a.allegroimg.com/original/1139d4/67da925742029f2f9d3344248708|https://a.allegroimg.com/original/119019/bd67faff4bb99e088883c30c47b9
G34-057,3,126.48,Amortyzator Tashiko tylny lewy dla Nissan Primera P10 1990-1996 334057,https://a.allegroimg.com/original/11a723/cac6b48e46a68fbe95a6cf0c56c2|https://a.allegroimg.com/original/11fd44/0009fa6e4c51944796bf1a7b4b5a|https://a.allegroimg.com/original/1141b4/0ce02f3e4526b24f3fe306fb3f83|https://a.allegroimg.com/original/11c051/29dbc54240d296c5be6918de9739
G33-052,6,134.64,Amortyzator Tashiko tylny lewy dla Toyota Corolla EE90 1987-1994 333052,https://a.allegroimg.com/original/119825/506ca5624412880a3e0b8648e7fe|https://a.allegroimg.com/original/1101ce/de7556e746e68104c75f1de1ab5f|https://a.allegroimg.com/original/11fe24/e1cfe6be4bc5986d5b84fe57d341|https://a.allegroimg.com/original/11832c/a7e8f9bc48c5a217d8762586222e
G41-131,6,102.00,"Amortyzator Tashiko tylny Honda Civic, Concerto; Rover 200, 400, 45 341131",https://a.allegroimg.com/original/110262/76511c3c4495afc4edb1b991e489|https://a.allegroimg.com/original/11867e/922759854723b97c5796991fd211|https://a.allegroimg.com/original/11f9b3/9e7365a048ef97a4de8acdaf72d6|https://a.allegroimg.com/original/11b504/112a4c804f4497122db8fa220f15
G88-211,10,102.40,Amortyzator Tashiko tylny Nissan Juke 2010-- G88-211 344816,https://a.allegroimg.com/original/11b4b8/d1e5189647878a587528a72197b0|https://a.allegroimg.com/original/111eed/bf59b85a408ea1ddeaa72ebd90df|https://a.allegroimg.com/original/114a69/ee1a67d2465f9a10eb18d021268a|https://a.allegroimg.com/original/1117f7/917e5a9f41d4b5c44f5504f99171
G44-357,10,89.76,"Amortyzator Tashiko tylny dla Seat, Skoda, VW G44-357 344357",https://a.allegroimg.com/original/11011e/e4173bf842eb802d890604f83918
G43-306,8,66.52,Amortyzator Tashiko tylny dla Opel Astra G 1998-2009 343306,https://a.allegroimg.com/original/11fd9a/238d59d54473ad5ea002d99291f8|https://a.allegroimg.com/original/111e67/e119534a41e0afcf3028891c8479|https://a.allegroimg.com/original/11741b/541957834ee6aa7b3f20bf115815
L53-604,9,79.16,Amortyzator Tashiko tylny dla Mercedes-Benz A-Class W168 553604,https://a.allegroimg.com/original/11bd65/dfe9226a42ea9530002501b988ae|https://a.allegroimg.com/original/117c3c/70d7280648eca467b9fd9ae1b944|https://a.allegroimg.com/original/110916/314e02904afdbd52573dd10db505|https://a.allegroimg.com/original/112719/31ae84724dc7b27fcf6633cb4132
G35-002,8,130.00,Amortyzator Tashiko tylny prawy dla Mazda 626 GV 1987-1997 335002,https://a.allegroimg.com/original/111ea2/773ebe8144e286aff72a07141e4c|https://a.allegroimg.com/original/11fed8/4bb9ec2f4cd6beb61606defc8547|https://a.allegroimg.com/original/118bc6/54c2dac34f6383a3f3b127e3162f|https://a.allegroimg.com/original/116499/ce1f85c34579b79fe4ced7ac8902
G41-425,6,102.00,"Amortyzator Tashiko tylny Mitsubishi Lancer 10 CX, CY 2008-- G41-445 341425",https://a.allegroimg.com/original/11eb81/f1b740a4499f8a15de6752a80e07|https://a.allegroimg.com/original/1183a3/adf5013e42cda9062ab17ec04fcb|https://a.allegroimg.com/original/111353/5b1b6beb438b9cab7a6154a10afc
G34-340,3,127.72,Amortyzator Tashiko tylny prawy dla Toyota Camry ACV30 2001-2003 334340,https://a.allegroimg.com/original/114e0a/e13efe72419c90545c66bf829ee1|https://a.allegroimg.com/original/119351/8ad519d046c4b06d1456d1b984e9|https://a.allegroimg.com/original/11c033/c3243fad4d7bb4f7744a8b5e984f|https://a.allegroimg.com/original/11f750/9b3d7fe1499aaef20a822700d9a9
L53-803,10,91.80,Amortyzator Tashiko tylny dla Renault Laguna II 2001-- L53-803 553803,https://a.allegroimg.com/original/118978/8487bd2e43828030010a093fe0b0|https://a.allegroimg.com/original/117b2a/15495bb84547a3d4d3a31ad0a16d|https://a.allegroimg.com/original/11825c/3e6f711140e09beef8f722bb434e|https://a.allegroimg.com/original/11d5a6/357c64334f819d3866026d8add9a
G88-199,10,105.28,Amortyzator Tashiko tylny Mazda 3 2013-- 3430041,https://a.allegroimg.com/original/1187a9/fdd0a53246bb96af996aee58d20f|https://a.allegroimg.com/original/11fa91/4aa6761c4fbe8c6e8366bda64ffc|https://a.allegroimg.com/original/11adc3/067c93f3411f9dac0fc44d3d3d88|https://a.allegroimg.com/original/11164a/08cd334149faa74d857548c51f09
G34-341,3,127.72,Amortyzator Tashiko tylny lewy dla Toyota Camry ACV30 2001-2003 334341,https://a.allegroimg.com/original/1120e9/dc5477ac41058ca8b2d74a379ec5|https://a.allegroimg.com/original/11f800/2321d69a45beb0ba163a24150035|https://a.allegroimg.com/original/1179e7/d3d6a7a74646815b227d0db5e966|https://a.allegroimg.com/original/1179a0/c39d4a984fcca82506640f7766d8
G34-157,4,115.48,"Amortyzator Tashiko tylny Mazda 626 GE, MX-6, Xedos 6 1991-1997 334157",https://a.allegroimg.com/original/11d72a/141720104237ae85aa46e187e9f6
G44-445,10,73.44,Amortyzator Tashiko tylny dla Opel Astra H 2004-2014 344445 318217,https://a.allegroimg.com/original/1132e5/73061c00477f894fc84bb8e1cd36|https://a.allegroimg.com/original/116859/8cdca7984db8a16fcad5001e5bbe|https://a.allegroimg.com/original/11b3e0/047823e14d15ab7a5b0e032560bd|https://a.allegroimg.com/original/11f313/5f83ff05434184bb9751cf7c8981
G44-410,10,92.20,Amortyzator Tashiko tylny dla Toyota Land Cruiser Prado 2002-2010344410,https://a.allegroimg.com/original/118563/4871b69d4819b8d5aee6f0e9df0b|https://a.allegroimg.com/original/117c2b/03fe0760438fac3f8a0e8bf30d05|https://a.allegroimg.com/original/11604b/57be71704ad5a34ef53338be129b|https://a.allegroimg.com/original/11ab7b/ee111ff64063b649efe403e54cae
G43-308,10,66.52,"Amortyzator Tashiko tylny dla Opel Combo, Meriva, Zafira 343308 280367",https://a.allegroimg.com/original/11e897/4b481c9647bc9a9a158f6d4abba1|https://a.allegroimg.com/original/11cea4/a7995dea4892bfbbf144e158997d|https://a.allegroimg.com/original/114ad7/c17a7e4b4831990395d8f0d490e4|https://a.allegroimg.com/original/111aa9/85e21202456d995ed17a8adbd899
G43-272,12,81.60,"Amortyzator Tashiko tylny Toyota RAV4 SXA10, ACA20 1994-2005 343272",https://a.allegroimg.com/original/11471a/9a90bb824ae08f7bc45393aea6da|https://a.allegroimg.com/original/11633b/89b8359b468da1dc847b1dfc04b2|https://a.allegroimg.com/original/11cb35/c6244e6a4d7da18a70d8e249b9af
G88-109,9,183.60,Amortyzator Tashiko tylny Mercedes-Benz W447 24-276092 V5008 A4473264200,https://a.allegroimg.com/original/11a539/38ccf12c4d4ea3ca804b71e4d0e1|https://a.allegroimg.com/original/11a47a/2a305ac141dd81d72359d61ad9ae|https://a.allegroimg.com/original/115027/3568e26141edbdcce187baf0dacd
G38-738,6,126.48,"Amortyzator Tashiko tylny dla Renault Duster, Kaptur; Dacia 338738 316290",https://a.allegroimg.com/original/11553f/54a95e3147bc8b44aafe2f9532d4|https://a.allegroimg.com/original/1181ba/e389fe8d47cfb4bae98791736883|https://a.allegroimg.com/original/110a1d/b97db41745d083558ea91f2364de|https://a.allegroimg.com/original/11483a/8e8048164fb9918774393d678df6
G43-281,10,73.44,Amortyzator Tashiko tylny dla Audi A6 C5,https://a.allegroimg.com/original/11f4b2/ef1e354248afb039bf4be783ceb7|https://a.allegroimg.com/original/11b8f8/28e88e464c498dae92f53d01fb89|https://a.allegroimg.com/original/11eff9/ec447e684ecb9d4adc1daad7f37f|https://a.allegroimg.com/original/11d652/241a36b14db2a5c0c754249fdb3e
G88-170,10,62.00,Amortyzator Tashiko tylny Lifan 520 2005-2013 G88-170 L2915130,https://a.allegroimg.com/original/115a2f/a8bfdf5e422d9625769116e9d53a|https://a.allegroimg.com/original/111063/e54fc26b4772a40432dfd741bc29|https://a.allegroimg.com/original/1141cb/ca3295a94d9599fbaa4f4487e0ff|https://a.allegroimg.com/original/119047/547181d34c3f8b122817bfdccc2d
G44-456,9,88.96,Amortyzator Tashiko tylny VW Transporter T5 2003-- 344456 313031,https://a.allegroimg.com/original/115fa0/3687f7024dc6a90254c344614cd5|https://a.allegroimg.com/original/112ad4/30d06af64dea863bedbe0a9705a1|https://a.allegroimg.com/original/110bb7/3eb07b49461f9b03b6d8a9962f05|https://a.allegroimg.com/original/11d646/2d4897864aadbad50966e0e979cf
G43-465,4,93.84,Amortyzator Tashiko tylny Nissan Tiida C11 2007-2012 343465,https://a.allegroimg.com/original/11b4f1/7f5005bc4a8a88be18f4f2261b1f|https://a.allegroimg.com/original/118a73/4ae9e934443ba94a045cafa6fb6f|https://a.allegroimg.com/original/11d144/f120a16548b18e794e0103068cf0|https://a.allegroimg.com/original/11a907/74b5c8b9453aa50e93da4b7ecdf2
G88-207,6,167.28,"Amortyzator Tashiko tylny Lexus GS300, GS350 2005-- G88-207 551108",https://a.allegroimg.com/original/118976/16c05d514cd49774fb4637d97e7e|https://a.allegroimg.com/original/11ac0c/acaf50bd4dac8c965cbfbafaa45e|https://a.allegroimg.com/original/116a69/5a602d1a4135bbaddf67d8e3dcbf|https://a.allegroimg.com/original/11f675/323b4888437abedf49e17216d431
G65-503,10,75.88,"Kartridż amortyzatora Tashiko przedni dla Opel Calibra, Vectra A 365503",https://a.allegroimg.com/original/11886f/f16455154ca58668ae75db410bc6|https://a.allegroimg.com/original/11dd7c/9e4cee0a41529734bced3e0c3a3e|https://a.allegroimg.com/original/11c020/6efbcc52489683c64c88ff5f4017
G65-500,10,88.52,"Kartridż amortyzatora Tashiko przedni dla Audi 80, 90; VW Passat B2 365500",https://a.allegroimg.com/original/11cc49/b10283a546e0b3401d59f46fab44|https://a.allegroimg.com/original/11981b/62aa9b984065932a19e2ceb01eaa|https://a.allegroimg.com/original/1160d4/81128eeb42d4a6205586b046f552
G88-111,4,224.40,Amortyzator Tashiko tylny Mercedes-Benz E-Class W212 2009-2016 317560,https://a.allegroimg.com/original/11493a/16dd59c24674b55200af5ead1300|https://a.allegroimg.com/original/11b08a/266196934f0cb404f8004f284d04|https://a.allegroimg.com/original/112abd/d1930bf04dda986c5d5e2b8cf59e|https://a.allegroimg.com/original/11bb26/e7828d534adda710f9ce54a7227c
G44-458,10,71.00,Amortyzator Tashiko tylny dla VW Caddy 2K 2004-2017 344458 313320,https://a.allegroimg.com/original/117b19/f7825c2f454ab0bec198e15edb64|https://a.allegroimg.com/original/111bf8/8374af28420092ce438ffd347231|https://a.allegroimg.com/original/1111eb/77ab13fa49f3adb879dadcc65b26|https://a.allegroimg.com/original/11b6ed/14af336e476a82f754ae5ba8455a
G41-369,6,82.00,"Amortyzator Tashiko tylny Honda Accord CL, CN 2003-2008 341369",https://a.allegroimg.com/original/11f3d3/0610171e449eb72e2ba4ac8c7d4d|https://a.allegroimg.com/original/119b05/7eae22204c028133a8c4404a73ef|https://a.allegroimg.com/original/11c8d0/5fbe2efa4bc4b781e78d02818d92
G66-002,7,89.76,"Kartridż amortyzatora Tashiko przedni dla Audi 100, 200, A6 C4, V8 366002",https://a.allegroimg.com/original/11d8ca/ce785c2748d792493e94b05b0296|https://a.allegroimg.com/original/11d2e4/39a8f0bc459caeedfc9663ef67da|https://a.allegroimg.com/original/1166d0/1ac878e34d0c87ce1a23dbf53fab|https://a.allegroimg.com/original/11bf24/ffea834f4e3f9070993771a41d7e
G88-114,7,112.60,"Amortyzator Tashiko tylny prawy dla Geely CK, CK 2 2005-2016 14006-18180",https://a.allegroimg.com/original/118e26/504c3fbc4d3c91663648b63ec187|https://a.allegroimg.com/original/112692/cb216e094b37a7c38f0aff38bc93|https://a.allegroimg.com/original/1168d6/dc48eafd4e0fa725c7f8e12c3512|https://a.allegroimg.com/original/11843e/b44fcb0d4d78af5d65eb1ddadf35
G88-971,10,86.92,Amortyzator Tashiko tylny dla Toyota Auris Corolla E18,https://a.allegroimg.com/original/111006/b8e67ed54bb29a11034abe6bf38a|https://a.allegroimg.com/original/11cf82/45f834f34bccb4c9174708bc9239|https://a.allegroimg.com/original/117673/46af50134df9975958f91aa0409e|https://a.allegroimg.com/original/1157aa/3849cf8544769baef0b8a3c56ac0
G63-065,8,91.00,Kartridż amortyzatora Tashiko tylny Nissan Prairie M11 363065 230009,https://a.allegroimg.com/original/114477/c79a62ec415a9e0bc5690e5132aa|https://a.allegroimg.com/original/11ea5f/77d374cc4a5098683f52bb40e49f|https://a.allegroimg.com/original/11d6d1/c3086ec24e0eaac4ca2c9fdec44e|https://a.allegroimg.com/original/118636/2da4366c438a91a2a57dcf8521d7
G88-168,8,77.20,"Amortyzator Tashiko tylny Nissan Terrano, Renault Kaptur,Duster 343827",https://a.allegroimg.com/original/11da04/9cee0305436ea2a166572a307c36|https://a.allegroimg.com/original/11abb7/e575a36e417a86cc99963bf9c43a|https://a.allegroimg.com/original/11313c/18d11fff4837a1c4db7d2d05271b|https://a.allegroimg.com/original/119444/a8facbe74e29b165830955ea0550
G88-115,7,112.60,"Amortyzator Tashiko tylny lewy dla Geely CK, CK 2 2005-2016 14006-16180",https://a.allegroimg.com/original/11aac6/b88c7a764a44b3de8c95d806be4d|https://a.allegroimg.com/original/1137ec/046648394c8da98e006f1e64b78a|https://a.allegroimg.com/original/118777/8183726d41fb8a315cc90a592621|https://a.allegroimg.com/original/1117dc/b913d3b44743bdee80aee5fd34e3
G65-507,3,72.64,"Kartridż amortyzatora Tashiko przedni dla Lada 2110, 2111, 2112 365507",https://a.allegroimg.com/original/110605/4e2103dd44fbb95cc495a530a869|https://a.allegroimg.com/original/11b547/8adfb8fa46d4b29e0b5db2b162d7|https://a.allegroimg.com/original/111406/36c1f2ff426a8d434ffd52888b1e
G34-063,6,134.64,Amortyzator Tashiko tylny prawy dla Toyota Carina E AT190 1992-1997 334063,https://a.allegroimg.com/original/11e76e/630dfbd144bc9be2bbd7ff8dabe5|https://a.allegroimg.com/original/11bd84/67c9d4364f0b984ada153c889bd9|https://a.allegroimg.com/original/11a595/d6b5b0934dc1a3f6b4003b32f32e
G44-485,14,89.76,Amortyzator Tashiko tylny dla Toyota HiAce 1995-2012 344485,https://a.allegroimg.com/original/117493/aef60cf54d2d9da5aa7c30aeea62|https://a.allegroimg.com/original/11c0c1/de2d859d485c9b4cea742a4b1106
G88-176,6,146.88,Amortyzator Tashiko tylny lewy dla BMW X5 X6 2007-- G88-176 341728,https://a.allegroimg.com/original/110446/1b0a71eb492aad7125f6f184cc27|https://a.allegroimg.com/original/118723/d455f96c49b7a24f382ba9f7b9cb|https://a.allegroimg.com/original/114994/fa159e1647159e89029feeaa2b31|https://a.allegroimg.com/original/115cfa/5ca8eee84fe29d2184c96888d877
G99-523,10,87.32,Amortyzator Tashiko tylny dla Peugeot 301 2011-- 3438000 317790,https://a.allegroimg.com/original/11ff6d/1502848a4f9ebf0c09310f179148|https://a.allegroimg.com/original/1114ec/46b4c7124bb69ec7676cde6ae77a|https://a.allegroimg.com/original/114242/80096bdc4d1d9bc799836547a321|https://a.allegroimg.com/original/1146c5/2e6bf36e417885aa5269d254130a
G88-177,6,146.88,"Amortyzator Tashiko tylny prawy dla BMW X5 E70, X6 E71, E72 341727",https://a.allegroimg.com/original/11b509/27949e4f47379369ee21857d9bd4|https://a.allegroimg.com/original/110500/defe88ee4986a5dd0d97a602a682|https://a.allegroimg.com/original/11d0b6/f02724404a1885d495bc933ff65f|https://a.allegroimg.com/original/116c19/baf8989d46e88bef0c25324041ac
G88-227,10,78.32,Amortyzator Tashiko tylny Ford Fiesta 2008-- G88-227 3438002,https://a.allegroimg.com/original/1129ab/c33f7c3345b29c7b63c59fecb813|https://a.allegroimg.com/original/1128af/9f16b0f547b286ec12e444f9928e|https://a.allegroimg.com/original/11119d/f1ea49a945418085a8f778d41608|https://a.allegroimg.com/original/111df5/310ca7a346b4a3b6af99a094f2f0
G49-024,8,71.80,Amortyzator Tashiko tylny dla Toyota RAV4 ACA30 2005-2018,https://a.allegroimg.com/original/11e6e7/9fbbee6c463784d8f80d1cbfb897|https://a.allegroimg.com/original/11435e/bda8c47a4c5dba63c13903c1c166|https://a.allegroimg.com/original/111533/fa5ed8234289ab0dbb9c79a0cdb3|https://a.allegroimg.com/original/114573/1a90dfcd461781df42430d638b6d
G34-064,6,134.64,Amortyzator Tashiko tylny lewy dlaа Toyota Carina E AT190 1992-1997 334064,https://a.allegroimg.com/original/111b21/edafb932427995ef9708e75515e6|https://a.allegroimg.com/original/119629/210e11374edab72cb548fa34da97|https://a.allegroimg.com/original/11f9d2/60ce0dd14e809d83cbbbc0bfed72
G88-228,6,116.88,"Amortyzator Tashiko przedni prawy dla Nissan Note E12, Micra K13 332148",https://a.allegroimg.com/original/11903e/f38d406f4f2b912fe005fa94a3fb|https://a.allegroimg.com/original/1150cc/579e842d416297beac1f2d7693cb|https://a.allegroimg.com/original/115743/0b34e65d40f4923fa733cd76b637|https://a.allegroimg.com/original/11f8f3/e8ecf81f4034bf17d044d04cee70
G39-114,8,135.00,"Amortyzator Tashiko przedni prawy dla Toyota Corolla, Geely Emgrand 339114",https://a.allegroimg.com/original/11b031/1d5c02fe464da5d4e20419cd12da|https://a.allegroimg.com/original/1187f4/51dc4ec245528714a93b9619fd83|https://a.allegroimg.com/original/1145bd/d52ff402461ba2906d7501485925
G63-060,10,93.84,"Kartridż amortyzatora Tashiko przedni Toyota Corolla E90, Sprinter 363060",https://a.allegroimg.com/original/11016c/5f320538483fbd48335790454a3a|https://a.allegroimg.com/original/11b4cb/d1b1de3f4774ae980fbcde6b0df7|https://a.allegroimg.com/original/118ca1/6739ba5e40488ada165e0dd0c4ec
G49-216,8,118.32,Amortyzator Tashiko tylny Nissan Leaf 2010-- 349216,https://a.allegroimg.com/original/11d9eb/c58dce3d495baba592895a997521|https://a.allegroimg.com/original/111c3e/4b542d62458bbcfe7065ab71930e|https://a.allegroimg.com/original/118a9d/d2bf9e8c4a6f8bc08a25a4c130d8|https://a.allegroimg.com/original/1125b1/fe57ab4541f5951d6fea71663383
G39-115,8,135.00,"Amortyzator Tashiko przedni lewy dla Toyota Corolla, Geely Emgrand 339115",https://a.allegroimg.com/original/11a282/71354d9844f49aef53a730e196ab|https://a.allegroimg.com/original/112dac/7b70b3484e138bb82c1d19377560|https://a.allegroimg.com/original/11447b/7597c5d14316a5d9527b8dfe3fc4
